Flight_Date,Route_ID,Aircraft_Type,Seats_Capacity,Seats_Sold,Departure_Delay_Minutes,Cancelled_Flag
2022-01-14,DXB-BOM,A380,500,363,9,0
2022-01-15,DXB-LHR,A380,500,373,2,0
2022-01-15,DXB-JFK,A350,300,201,20,0
2022-01-15,DXB-SIN,B777,350,242,10,0
2022-01-15,DXB-SYD,B777,350,251,12,0
2022-01-15,DXB-BOM,A380,500,339,9,0
2022-01-16,DXB-LHR,B777,350,255,22,0
2022-01-16,DXB-JFK,A350,300,220,14,0
2022-01-16,DXB-SIN,B777,350,242,10,0
2022-01-16,DXB-SYD,A350,300,204,17,0
2022-01-16,DXB-BOM,A350,300,215,8,0
2022-01-17,DXB-LHR,B777,350,243,17,0
2022-01-17,DXB-JFK,A350,300,209,6,0
2022-01-17,DXB-SIN,B777,350,252,7,0
2022-01-17,DXB-SYD,A380,500,345,5,0
2022-01-17,DXB-BOM,B777,350,228,10,0
2022-01-18,DXB-LHR,B777,350,243,3,0
2022-01-18,DXB-JFK,B777,350,228,6,0
2022-01-18,DXB-SIN,A380,500,338,21,0
2022-01-18,DXB-SYD,A350,300,204,13,0
2022-01-18,DXB-BOM,A380,500,350,17,1
2022-01-19,DXB-LHR,A350,300,216,1,0
2022-01-19,DXB-JFK,A380,500,335,22,0
2022-01-19,DXB-SIN,B777,350,232,5,0
2022-01-19,DXB-SYD,B777,350,234,10,0
2022-01-19,DXB-BOM,A350,300,220,4,0
2022-01-20,DXB-LHR,A350,300,195,13,0
2022-01-20,DXB-JFK,A380,500,360,19,0
2022-01-20,DXB-SIN,A350,300,218,13,0
2022-01-20,DXB-SYD,B777,350,247,15,0
2022-01-20,DXB-BOM,B777,350,240,9,0
2022-01-21,DXB-LHR,B777,350,253,15,0
2022-01-21,DXB-JFK,A380,500,371,4,0
2022-01-21,DXB-SIN,A350,300,216,10,0
2022-01-21,DXB-SYD,A380,500,332,12,0
2022-01-21,DXB-BOM,A380,500,329,15,0
2022-01-22,DXB-LHR,A380,500,369,18,0
2022-01-22,DXB-JFK,A380,500,342,17,0
2022-01-22,DXB-SIN,A380,500,369,11,0
2022-01-22,DXB-SYD,A350,300,204,5,0
2022-01-22,DXB-BOM,A350,300,197,17,0
2022-01-23,DXB-LHR,B777,350,258,10,1
2022-01-23,DXB-JFK,B777,350,231,17,0
2022-01-23,DXB-SIN,A350,300,214,15,0
2022-01-23,DXB-SYD,A350,300,220,10,0
2022-01-23,DXB-BOM,A350,300,211,10,0
2022-01-24,DXB-LHR,B777,350,250,16,0
2022-01-24,DXB-JFK,A380,500,360,5,0
2022-01-24,DXB-SIN,A350,300,195,5,0
2022-01-24,DXB-SYD,A380,500,327,13,0
2022-01-24,DXB-BOM,B777,350,252,4,0
2022-01-25,DXB-LHR,A350,300,206,8,0
2022-01-25,DXB-JFK,B777,350,244,14,0
2022-01-25,DXB-SIN,B777,350,253,9,0
2022-01-25,DXB-SYD,B777,350,239,5,0
2022-01-25,DXB-BOM,A380,500,330,10,0
2022-01-26,DXB-LHR,A350,300,224,16,0
2022-01-26,DXB-JFK,B777,350,260,14,0
2022-01-26,DXB-SIN,A350,300,201,5,0
2022-01-26,DXB-SYD,B777,350,243,9,0
2022-01-26,DXB-BOM,B777,350,234,19,1
2022-01-27,DXB-LHR,A380,500,362,10,0
2022-01-27,DXB-JFK,A350,300,212,14,0
2022-01-27,DXB-SIN,B777,350,229,7,0
2022-01-27,DXB-SYD,B777,350,248,12,0
2022-01-27,DXB-BOM,B777,350,247,7,0
2022-01-28,DXB-LHR,A350,300,220,11,0
2022-01-28,DXB-JFK,A350,300,199,15,0
2022-01-28,DXB-SIN,B777,350,233,3,1
2022-01-28,DXB-SYD,B777,350,236,12,0
2022-01-28,DXB-BOM,A380,500,341,13,0
2022-01-29,DXB-LHR,A380,500,326,25,0
2022-01-29,DXB-JFK,B777,350,230,6,0
2022-01-29,DXB-SIN,A350,300,197,7,0
2022-01-29,DXB-SYD,B777,350,244,-1,0
2022-01-29,DXB-BOM,A380,500,359,17,0
2022-01-30,DXB-LHR,B777,350,229,12,0
2022-01-30,DXB-JFK,B777,350,259,8,0
2022-01-30,DXB-SIN,B777,350,262,12,0
2022-01-30,DXB-SYD,A380,500,361,9,0
2022-01-30,DXB-BOM,A380,500,331,9,0
2022-01-31,DXB-LHR,B777,350,260,18,0
2022-01-31,DXB-JFK,B777,350,246,14,0
2022-01-31,DXB-SIN,A380,500,360,10,0
2022-01-31,DXB-SYD,B777,350,234,12,0
2022-01-31,DXB-BOM,A380,500,374,9,0
2022-02-01,DXB-LHR,A380,500,356,8,0
2022-02-01,DXB-JFK,A380,500,343,11,0
2022-02-01,DXB-SIN,B777,350,243,11,0
2022-02-01,DXB-SYD,A350,300,211,12,0
2022-02-01,DXB-BOM,A350,300,201,7,0
2022-02-02,DXB-LHR,A350,300,210,22,1
2022-02-02,DXB-JFK,A350,300,216,16,0
2022-02-02,DXB-SIN,A350,300,203,14,0
2022-02-02,DXB-SYD,A380,500,339,14,0
2022-02-02,DXB-BOM,A350,300,205,12,0
2022-02-03,DXB-LHR,A350,300,201,11,0
2022-02-03,DXB-JFK,B777,350,230,-5,0
2022-02-03,DXB-SIN,B777,350,256,18,0
2022-02-03,DXB-SYD,B777,350,236,13,0
2022-02-03,DXB-BOM,A350,300,205,3,0
2022-02-04,DXB-LHR,A380,500,367,13,0
2022-02-04,DXB-JFK,A350,300,220,16,0
2022-02-04,DXB-SIN,B777,350,233,1,0
2022-02-04,DXB-SYD,A380,500,335,15,0
2022-02-04,DXB-BOM,A350,300,199,17,0
2022-02-05,DXB-LHR,A350,300,217,5,0
2022-02-05,DXB-JFK,A380,500,336,9,0
2022-02-05,DXB-SIN,A380,500,337,17,0
2022-02-05,DXB-SYD,A350,300,209,14,0
2022-02-05,DXB-BOM,A350,300,218,20,0
2022-02-06,DXB-LHR,A380,500,362,5,0
2022-02-06,DXB-JFK,B777,350,245,-1,0
2022-02-06,DXB-SIN,B777,350,255,23,0
2022-02-06,DXB-SYD,A350,300,212,12,0
2022-02-06,DXB-BOM,A350,300,220,10,0
2022-02-07,DXB-LHR,B777,350,228,17,0
2022-02-07,DXB-JFK,A350,300,201,14,1
2022-02-07,DXB-SIN,A380,500,326,12,0
2022-02-07,DXB-SYD,A350,300,198,12,0
2022-02-07,DXB-BOM,A380,500,329,7,0
2022-02-08,DXB-LHR,B777,350,230,7,0
2022-02-08,DXB-JFK,A380,500,352,11,0
2022-02-08,DXB-SIN,A380,500,362,12,1
2022-02-08,DXB-SYD,B777,350,240,18,0
2022-02-08,DXB-BOM,A350,300,215,17,0
2022-02-09,DXB-LHR,A380,500,370,7,0
2022-02-09,DXB-JFK,A380,500,365,15,0
2022-02-09,DXB-SIN,A380,500,328,14,0
2022-02-09,DXB-SYD,A380,500,336,8,0
2022-02-09,DXB-BOM,A380,500,344,5,0
2022-02-10,DXB-LHR,A380,500,325,10,0
2022-02-10,DXB-JFK,B777,350,229,14,0
2022-02-10,DXB-SIN,B777,350,236,7,0
2022-02-10,DXB-SYD,A350,300,219,15,0
2022-02-10,DXB-BOM,A380,500,349,10,0
2022-02-11,DXB-LHR,A380,500,328,15,0
2022-02-11,DXB-JFK,B777,350,231,12,0
2022-02-11,DXB-SIN,A350,300,206,13,0
2022-02-11,DXB-SYD,B777,350,252,8,0
2022-02-11,DXB-BOM,B777,350,234,11,0
2022-02-12,DXB-LHR,A350,300,218,14,0
2022-02-12,DXB-JFK,A380,500,372,13,0
2022-02-12,DXB-SIN,A350,300,207,10,0
2022-02-12,DXB-SYD,A380,500,348,16,0
2022-02-12,DXB-BOM,A380,500,336,8,0
2022-02-13,DXB-LHR,B777,350,242,14,0
2022-02-13,DXB-JFK,A350,300,221,9,0
2022-02-13,DXB-SIN,B777,350,248,10,0
2022-02-13,DXB-SYD,B777,350,257,11,0
2022-02-13,DXB-BOM,A380,500,326,13,0
2022-02-14,DXB-LHR,B777,350,239,13,0
2022-02-14,DXB-JFK,B777,350,254,17,0
2022-02-14,DXB-SIN,A350,300,216,14,0
2022-02-14,DXB-SYD,A350,300,197,12,0
2022-02-14,DXB-BOM,B777,350,232,9,0
2022-02-15,DXB-LHR,A350,300,206,14,0
2022-02-15,DXB-JFK,A350,300,222,15,1
2022-02-15,DXB-SIN,B777,350,237,1,0
2022-02-15,DXB-SYD,B777,350,235,11,0
2022-02-15,DXB-BOM,B777,350,261,21,0
2022-02-16,DXB-LHR,A380,500,340,6,0
2022-02-16,DXB-JFK,A350,300,224,14,0
2022-02-16,DXB-SIN,B777,350,246,8,0
2022-02-16,DXB-SYD,A350,300,219,17,0
2022-02-16,DXB-BOM,A350,300,202,21,0
2022-02-17,DXB-LHR,A350,300,204,8,0
2022-02-17,DXB-JFK,B777,350,229,6,0
2022-02-17,DXB-SIN,B777,350,247,15,0
2022-02-17,DXB-SYD,A350,300,215,13,0
2022-02-17,DXB-BOM,A350,300,202,18,0
2022-02-18,DXB-LHR,A350,300,197,9,0
2022-02-18,DXB-JFK,A380,500,365,13,0
2022-02-18,DXB-SIN,A380,500,346,10,0
2022-02-18,DXB-SYD,B777,350,250,6,0
2022-02-18,DXB-BOM,A380,500,362,6,0
2022-02-19,DXB-LHR,B777,350,256,18,0
2022-02-19,DXB-JFK,A380,500,339,14,0
2022-02-19,DXB-SIN,B777,350,252,11,0
2022-02-19,DXB-SYD,A350,300,211,15,0
2022-02-19,DXB-BOM,A350,300,204,10,0
2022-02-20,DXB-LHR,B777,350,237,14,0
2022-02-20,DXB-JFK,A350,300,216,10,0
2022-02-20,DXB-SIN,A350,300,217,17,0
2022-02-20,DXB-SYD,A350,300,206,12,0
2022-02-20,DXB-BOM,A380,500,366,17,0
2022-02-21,DXB-LHR,B777,350,231,13,0
2022-02-21,DXB-JFK,A350,300,219,13,0
2022-02-21,DXB-SIN,B777,350,234,4,0
2022-02-21,DXB-SYD,B777,350,251,9,0
2022-02-21,DXB-BOM,A350,300,208,5,0
2022-02-22,DXB-LHR,A350,300,204,11,0
2022-02-22,DXB-JFK,A380,500,329,11,0
2022-02-22,DXB-SIN,A380,500,356,11,0
2022-02-22,DXB-SYD,B777,350,244,16,0
2022-02-22,DXB-BOM,A380,500,355,14,0
2022-02-23,DXB-LHR,B777,350,233,16,0
2022-02-23,DXB-JFK,A380,500,362,14,0
2022-02-23,DXB-SIN,A350,300,200,15,0
2022-02-23,DXB-SYD,B777,350,228,10,0
2022-02-23,DXB-BOM,A380,500,367,14,0
2022-02-24,DXB-LHR,A380,500,352,3,0
2022-02-24,DXB-JFK,B777,350,243,10,0
2022-02-24,DXB-SIN,A380,500,369,18,0
2022-02-24,DXB-SYD,B777,350,259,5,0
2022-02-24,DXB-BOM,A380,500,326,1,0
2022-02-25,DXB-LHR,A380,500,327,12,0
2022-02-25,DXB-JFK,A380,500,348,7,0
2022-02-25,DXB-SIN,A380,500,352,13,0
2022-02-25,DXB-SYD,B777,350,249,18,0
2022-02-25,DXB-BOM,B777,350,258,23,0
2022-02-26,DXB-LHR,B777,350,237,12,0
2022-02-26,DXB-JFK,A350,300,216,12,0
2022-02-26,DXB-SIN,B777,350,247,17,0
2022-02-26,DXB-SYD,A350,300,197,21,0
2022-02-26,DXB-BOM,A350,300,220,13,0
2022-02-27,DXB-LHR,A350,300,207,0,0
2022-02-27,DXB-JFK,A380,500,363,10,0
2022-02-27,DXB-SIN,A380,500,357,10,0
2022-02-27,DXB-SYD,B777,350,228,9,0
2022-02-27,DXB-BOM,A380,500,359,20,0
2022-02-28,DXB-LHR,B777,350,234,5,0
2022-02-28,DXB-JFK,A380,500,353,14,0
2022-02-28,DXB-SIN,A380,500,353,15,0
2022-02-28,DXB-SYD,A350,300,198,12,0
2022-02-28,DXB-BOM,A350,300,195,10,0
2022-03-01,DXB-LHR,A380,500,404,17,0
2022-03-01,DXB-JFK,B777,350,282,23,0
2022-03-01,DXB-SIN,A350,300,242,17,1
2022-03-01,DXB-SYD,A380,500,422,15,0
2022-03-01,DXB-BOM,A380,500,408,7,0
2022-03-02,DXB-LHR,B777,350,262,28,0
2022-03-02,DXB-JFK,A350,300,226,18,0
2022-03-02,DXB-SIN,A350,300,233,17,0
2022-03-02,DXB-SYD,B777,350,285,21,0
2022-03-02,DXB-BOM,B777,350,270,22,0
2022-03-03,DXB-LHR,B777,350,288,16,0
2022-03-03,DXB-JFK,B777,350,272,25,0
2022-03-03,DXB-SIN,A350,300,233,19,0
2022-03-03,DXB-SYD,B777,350,284,10,0
2022-03-03,DXB-BOM,A380,500,404,17,0
2022-03-04,DXB-LHR,B777,350,281,15,0
2022-03-04,DXB-JFK,B777,350,290,7,0
2022-03-04,DXB-SIN,A380,500,375,24,0
2022-03-04,DXB-SYD,A380,500,418,11,0
2022-03-04,DXB-BOM,B777,350,262,9,0
2022-03-05,DXB-LHR,A380,500,385,9,0
2022-03-05,DXB-JFK,A380,500,404,17,0
2022-03-05,DXB-SIN,A350,300,248,13,0
2022-03-05,DXB-SYD,A350,300,245,16,0
2022-03-05,DXB-BOM,A380,500,411,16,0
2022-03-06,DXB-LHR,A380,500,386,16,0
2022-03-06,DXB-JFK,A350,300,250,16,0
2022-03-06,DXB-SIN,A350,300,225,20,0
2022-03-06,DXB-SYD,A350,300,243,19,0
2022-03-06,DXB-BOM,A380,500,395,23,0
2022-03-07,DXB-LHR,A380,500,377,22,0
2022-03-07,DXB-JFK,B777,350,296,20,0
2022-03-07,DXB-SIN,B777,350,280,16,0
2022-03-07,DXB-SYD,B777,350,294,12,0
2022-03-07,DXB-BOM,B777,350,294,19,0
2022-03-08,DXB-LHR,B777,350,276,14,0
2022-03-08,DXB-JFK,A350,300,244,15,0
2022-03-08,DXB-SIN,A350,300,230,13,0
2022-03-08,DXB-SYD,A380,500,424,21,0
2022-03-08,DXB-BOM,B777,350,267,22,0
2022-03-09,DXB-LHR,A350,300,228,25,0
2022-03-09,DXB-JFK,A380,500,392,27,0
2022-03-09,DXB-SIN,A350,300,242,10,0
2022-03-09,DXB-SYD,A380,500,375,17,0
2022-03-09,DXB-BOM,B777,350,264,15,0
2022-03-10,DXB-LHR,A380,500,416,14,0
2022-03-10,DXB-JFK,A350,300,228,29,0
2022-03-10,DXB-SIN,A350,300,237,19,0
2022-03-10,DXB-SYD,A380,500,407,20,0
2022-03-10,DXB-BOM,A350,300,233,14,0
2022-03-11,DXB-LHR,B777,350,262,30,0
2022-03-11,DXB-JFK,A350,300,233,16,0
2022-03-11,DXB-SIN,A350,300,225,22,1
2022-03-11,DXB-SYD,A350,300,225,19,0
2022-03-11,DXB-BOM,A350,300,250,24,0
2022-03-12,DXB-LHR,A380,500,414,15,0
2022-03-12,DXB-JFK,A380,500,412,25,0
2022-03-12,DXB-SIN,A350,300,251,20,0
2022-03-12,DXB-SYD,A380,500,387,22,0
2022-03-12,DXB-BOM,B777,350,290,21,0
2022-03-13,DXB-LHR,B777,350,294,18,0
2022-03-13,DXB-JFK,B777,350,280,19,0
2022-03-13,DXB-SIN,A350,300,237,23,0
2022-03-13,DXB-SYD,B777,350,266,21,0
2022-03-13,DXB-BOM,A350,300,250,18,0
2022-03-14,DXB-LHR,A380,500,393,14,1
2022-03-14,DXB-JFK,A380,500,422,15,0
2022-03-14,DXB-SIN,B777,350,284,9,0
2022-03-14,DXB-SYD,B777,350,266,16,0
2022-03-14,DXB-BOM,A380,500,417,12,0
2022-03-15,DXB-LHR,A380,500,417,23,0
2022-03-15,DXB-JFK,A380,500,385,12,0
2022-03-15,DXB-SIN,A380,500,412,21,0
2022-03-15,DXB-SYD,A350,300,251,22,0
2022-03-15,DXB-BOM,A380,500,408,15,0
2022-03-16,DXB-LHR,A350,300,232,16,0
2022-03-16,DXB-JFK,B777,350,287,17,0
2022-03-16,DXB-SIN,A350,300,242,20,0
2022-03-16,DXB-SYD,A380,500,398,14,0
2022-03-16,DXB-BOM,A380,500,386,20,0
2022-03-17,DXB-LHR,B777,350,282,16,0
2022-03-17,DXB-JFK,A380,500,378,20,0
2022-03-17,DXB-SIN,A380,500,388,14,0
2022-03-17,DXB-SYD,A350,300,229,14,0
2022-03-17,DXB-BOM,A380,500,418,23,0
2022-03-18,DXB-LHR,A350,300,248,12,0
2022-03-18,DXB-JFK,A380,500,404,12,0
2022-03-18,DXB-SIN,A380,500,379,18,0
2022-03-18,DXB-SYD,A350,300,244,12,0
2022-03-18,DXB-BOM,B777,350,279,14,1
2022-03-19,DXB-LHR,B777,350,278,5,0
2022-03-19,DXB-JFK,A380,500,384,19,0
2022-03-19,DXB-SIN,B777,350,278,16,0
2022-03-19,DXB-SYD,A350,300,235,9,0
2022-03-19,DXB-BOM,B777,350,270,21,0
2022-03-20,DXB-LHR,B777,350,273,19,0
2022-03-20,DXB-JFK,A380,500,406,13,0
2022-03-20,DXB-SIN,A380,500,414,10,0
2022-03-20,DXB-SYD,B777,350,268,18,0
2022-03-20,DXB-BOM,A350,300,242,7,0
2022-03-21,DXB-LHR,A350,300,234,17,0
2022-03-21,DXB-JFK,A380,500,417,15,0
2022-03-21,DXB-SIN,A350,300,225,24,0
2022-03-21,DXB-SYD,A380,500,423,20,0
2022-03-21,DXB-BOM,B777,350,278,26,0
2022-03-22,DXB-LHR,B777,350,279,17,0
2022-03-22,DXB-JFK,A350,300,242,12,0
2022-03-22,DXB-SIN,A350,300,241,22,0
2022-03-22,DXB-SYD,B777,350,279,19,0
2022-03-22,DXB-BOM,A350,300,245,19,0
2022-03-23,DXB-LHR,A380,500,415,23,0
2022-03-23,DXB-JFK,A380,500,377,15,0
2022-03-23,DXB-SIN,A350,300,253,21,0
2022-03-23,DXB-SYD,B777,350,276,14,0
2022-03-23,DXB-BOM,A380,500,387,14,0
2022-03-24,DXB-LHR,A350,300,235,17,0
2022-03-24,DXB-JFK,A380,500,417,22,0
2022-03-24,DXB-SIN,A350,300,245,18,0
2022-03-24,DXB-SYD,A380,500,384,20,1
2022-03-24,DXB-BOM,A380,500,411,18,0
2022-03-25,DXB-LHR,A380,500,382,17,0
2022-03-25,DXB-JFK,A380,500,413,16,0
2022-03-25,DXB-SIN,A350,300,227,21,0
2022-03-25,DXB-SYD,A350,300,250,16,0
2022-03-25,DXB-BOM,A380,500,378,19,0
2022-03-26,DXB-LHR,A350,300,246,7,0
2022-03-26,DXB-JFK,A380,500,400,4,0
2022-03-26,DXB-SIN,B777,350,292,18,1
2022-03-26,DXB-SYD,B777,350,265,12,0
2022-03-26,DXB-BOM,B777,350,280,20,0
2022-03-27,DXB-LHR,A350,300,228,19,0
2022-03-27,DXB-JFK,A350,300,242,14,0
2022-03-27,DXB-SIN,B777,350,292,22,0
2022-03-27,DXB-SYD,A380,500,376,18,0
2022-03-27,DXB-BOM,A350,300,254,23,0
2022-03-28,DXB-LHR,A380,500,422,10,0
2022-03-28,DXB-JFK,A380,500,417,27,0
2022-03-28,DXB-SIN,A350,300,231,15,0
2022-03-28,DXB-SYD,B777,350,270,23,0
2022-03-28,DXB-BOM,A350,300,237,16,0
2022-03-29,DXB-LHR,B777,350,294,27,0
2022-03-29,DXB-JFK,A350,300,238,16,0
2022-03-29,DXB-SIN,A380,500,413,25,0
2022-03-29,DXB-SYD,A380,500,405,20,0
2022-03-29,DXB-BOM,A380,500,379,19,0
2022-03-30,DXB-LHR,A380,500,405,24,0
2022-03-30,DXB-JFK,A380,500,402,15,0
2022-03-30,DXB-SIN,B777,350,265,22,0
2022-03-30,DXB-SYD,A350,300,247,21,0
2022-03-30,DXB-BOM,A350,300,237,17,0
2022-03-31,DXB-LHR,B777,350,293,19,0
2022-03-31,DXB-JFK,B777,350,285,19,0
2022-03-31,DXB-SIN,A350,300,239,22,0
2022-03-31,DXB-SYD,A350,300,241,13,0
2022-03-31,DXB-BOM,A380,500,421,19,0
2022-04-01,DXB-LHR,A350,300,252,12,0
2022-04-01,DXB-JFK,B777,350,290,10,0
2022-04-01,DXB-SIN,B777,350,266,12,0
2022-04-01,DXB-SYD,A350,300,228,10,0
2022-04-01,DXB-BOM,B777,350,275,16,0
2022-04-02,DXB-LHR,A350,300,235,26,0
2022-04-02,DXB-JFK,A380,500,391,16,0
2022-04-02,DXB-SIN,A350,300,245,14,0
2022-04-02,DXB-SYD,A380,500,387,17,0
2022-04-02,DXB-BOM,B777,350,289,19,0
2022-04-03,DXB-LHR,A380,500,410,18,0
2022-04-03,DXB-JFK,A380,500,397,16,0
2022-04-03,DXB-SIN,A350,300,246,19,0
2022-04-03,DXB-SYD,B777,350,285,23,0
2022-04-03,DXB-BOM,A350,300,251,13,0
2022-04-04,DXB-LHR,B777,350,263,23,0
2022-04-04,DXB-JFK,B777,350,285,16,0
2022-04-04,DXB-SIN,A350,300,249,25,0
2022-04-04,DXB-SYD,B777,350,285,15,0
2022-04-04,DXB-BOM,B777,350,287,12,0
2022-04-05,DXB-LHR,B777,350,280,16,0
2022-04-05,DXB-JFK,B777,350,294,16,0
2022-04-05,DXB-SIN,A350,300,248,16,0
2022-04-05,DXB-SYD,A380,500,417,20,0
2022-04-05,DXB-BOM,A350,300,245,10,0
2022-04-06,DXB-LHR,B777,350,294,19,0
2022-04-06,DXB-JFK,A380,500,400,18,0
2022-04-06,DXB-SIN,A350,300,226,11,0
2022-04-06,DXB-SYD,B777,350,291,12,0
2022-04-06,DXB-BOM,A350,300,233,19,0
2022-04-07,DXB-LHR,A380,500,420,17,0
2022-04-07,DXB-JFK,A350,300,251,26,0
2022-04-07,DXB-SIN,A350,300,246,28,1
2022-04-07,DXB-SYD,A380,500,412,24,0
2022-04-07,DXB-BOM,B777,350,283,17,0
2022-04-08,DXB-LHR,B777,350,264,21,0
2022-04-08,DXB-JFK,B777,350,279,25,0
2022-04-08,DXB-SIN,B777,350,290,18,0
2022-04-08,DXB-SYD,B777,350,274,18,0
2022-04-08,DXB-BOM,A350,300,235,17,0
2022-04-09,DXB-LHR,A350,300,234,10,0
2022-04-09,DXB-JFK,B777,350,273,16,0
2022-04-09,DXB-SIN,A380,500,395,8,0
2022-04-09,DXB-SYD,B777,350,273,22,0
2022-04-09,DXB-BOM,B777,350,273,4,0
2022-04-10,DXB-LHR,B777,350,292,25,0
2022-04-10,DXB-JFK,A350,300,240,19,0
2022-04-10,DXB-SIN,A350,300,230,21,0
2022-04-10,DXB-SYD,A380,500,411,19,0
2022-04-10,DXB-BOM,B777,350,296,14,0
2022-04-11,DXB-LHR,B777,350,276,27,0
2022-04-11,DXB-JFK,A350,300,247,16,0
2022-04-11,DXB-SIN,A380,500,394,30,0
2022-04-11,DXB-SYD,A350,300,252,14,0
2022-04-11,DXB-BOM,B777,350,294,31,0
2022-04-12,DXB-LHR,B777,350,289,17,0
2022-04-12,DXB-JFK,A380,500,399,17,0
2022-04-12,DXB-SIN,B777,350,268,12,0
2022-04-12,DXB-SYD,A380,500,376,18,0
2022-04-12,DXB-BOM,B777,350,284,16,0
2022-04-13,DXB-LHR,B777,350,285,22,0
2022-04-13,DXB-JFK,B777,350,281,17,0
2022-04-13,DXB-SIN,A380,500,420,15,0
2022-04-13,DXB-SYD,A380,500,385,19,0
2022-04-13,DXB-BOM,B777,350,264,15,0
2022-04-14,DXB-LHR,A350,300,235,17,0
2022-04-14,DXB-JFK,B777,350,272,13,0
2022-04-14,DXB-SIN,B777,350,271,20,0
2022-04-14,DXB-SYD,A380,500,398,23,0
2022-04-14,DXB-BOM,B777,350,264,27,0
2022-04-15,DXB-LHR,A350,300,234,20,0
2022-04-15,DXB-JFK,B777,350,278,19,0
2022-04-15,DXB-SIN,A380,500,391,14,0
2022-04-15,DXB-SYD,A350,300,249,23,0
2022-04-15,DXB-BOM,A380,500,409,10,0
2022-04-16,DXB-LHR,A350,300,253,22,0
2022-04-16,DXB-JFK,B777,350,296,6,0
2022-04-16,DXB-SIN,B777,350,275,16,0
2022-04-16,DXB-SYD,B777,350,272,23,0
2022-04-16,DXB-BOM,B777,350,273,15,0
2022-04-17,DXB-LHR,B777,350,266,22,0
2022-04-17,DXB-JFK,B777,350,287,28,0
2022-04-17,DXB-SIN,A380,500,406,10,0
